tracking_number,bin,approved_date,filing_representative_business_name,applicant_business_address,applicant_last_name
858413635,4311666,2025-06-26T00:00:00.000,,136-40 39TH AVE # 302,LIAO
680468992,4244208,2024-08-05T00:00:00.000,SCACODECONSULTINGANDPLANNING,155-41 79TH STREET APT #4,SOTO
307980969,4270036,2021-12-07T00:00:00.000,,33-24 NORTHERN BLVD FL 5TH,AHMED
529471517,4105623,2025-01-24T00:00:00.000,PRAINITO ARCHITECT P.C.,150-05 24TH AVE,VALENZA
836671795,2052591,2024-12-10T00:00:00.000,,3096 B HAMILTON BLVD,Makar
846081977,2127175,2025-09-15T00:00:00.000,MUNICIPAL BUILDING CONSULTANTS,"250 WEST 103RD STREET, 4C",WINICK
351207118,5177152,2025-06-17T00:00:00.000,,1357 HUGUENOT AVENUE,FARINA
634380557,5006087,2025-06-25T00:00:00.000,,1357 HUGUENOT AVENUE,FARINA
324347484,3429914,2023-12-20T00:00:00.000,T.F. CUSANELLI & FILLETTI ARCHITECT,270 MCGUINNESS BOULEVARD,MANETTA
211210486,3006960,2021-06-15T00:00:00.000,JACK JAFFA AND ASSOCIATES,40-39 235TH STREET,KWON
980366910,3153416,2022-05-11T00:00:00.000,CIVIL CONTRACTING CORP,724 BERGEN BLVD,BARAKAT
3.24924328E+8,1076193,2024-09-23T00:00:00.000,A1 EXPEDITING SERVICE CORP.,700 COMMERCIAL AVENUE,OH
727031151,1014485,2025-04-21T00:00:00.000,,247 WEST 37TH STREET,FLUET
613190852,5176965,2025-04-11T00:00:00.000,,1357 HUGUENOT AVENUE,FARINA
492093350,1015904,2025-06-24T00:00:00.000,,442 EAST 148TH STREET,RODRIGUEZ
341168801,1055299,2024-06-14T00:00:00.000,,20 BURLING LANE (BOX 4-1),NUNEZ
864773476,1087113,2025-02-10T00:00:00.000,CCM Consulting Group,26-50 BQE WEST SUITE 2,GAJUREL
644839145,4448806,2024-04-24T00:00:00.000,,168 TOWNLINE RD,COX
593832799,4117367,,MERCURE CONSULTING LLC,19 ROLLING HILLS ROAD,COSTELLO
187845166,4084344,2025-08-11T00:00:00.000,,200 6TH STREET SUITE 3G,LUDWIG
191960555,2092391,2025-09-02T00:00:00.000,EXPEDITE DEM INC,555 SAW MILL RIVER ROAD,MCGUIRE
949331493,1007250,2025-04-02T00:00:00.000,,101-06 67TH DRIVE APT 3H,ABA
442683436,3014856,2024-11-19T00:00:00.000,A1 EXPEDITING SERVICE CORP.,700 COMMERCIAL AVENUE,OH
399720211,2005015,2024-11-26T00:00:00.000,W/J PROFESSIONAL EXPEDITING COMPANY,"1044 NORTHERN BLVD, 2ND FL",ARKER
448836542,2001610,2024-04-22T00:00:00.000,CAVALRY LLC,"200 ROBBINS LANE,STE.D-1",DUBB
606786149,3338601,2025-12-10T00:00:00.000,,98-21 101 AVENUE,SINGH
4.46736587E+8,1018471,2025-09-25T00:00:00.000,,127 WEST 26TH STREET,COLE
